Customer ID,Age,Gender,Annual Income (k$),Spending Score (1-100),Purchase Frequency,Payment Method,Browsing Time (min),Total Purchases,Satisfaction Level
103432,40,Male,138,14,15,Cash,35,17,Low
103433,43,Female,110,56,20,Cash,66,29,Medium
103434,46,Male,143,34,22,Credit Card,19,20,Low
103435,50,Male,47,78,9,UPI,33,36,Medium
103436,44,Female,44,89,24,Credit Card,71,47,High
103437,42,Female,19,12,23,UPI,87,24,Low
103438,27,Male,132,56,5,UPI,90,43,Medium
103439,40,Female,52,61,13,UPI,51,48,Medium
103440,38,Male,31,61,7,UPI,88,4,Medium
103441,38,Female,123,40,17,Debit Card,11,5,Low
103442,30,Female,54,20,8,Cash,72,19,Low
103443,54,Male,125,42,5,UPI,5,48,Medium
103444,50,Male,142,7,23,Credit Card,109,24,Low
103445,41,Female,109,79,7,Credit Card,75,48,Medium
103446,28,Female,43,73,8,Debit Card,26,1,Medium
103447,34,Female,87,68,7,Cash,105,35,Medium
103448,21,Male,35,31,22,UPI,61,2,Low
103449,42,Female,74,87,12,Debit Card,98,10,Medium
103450,47,Female,112,70,6,Credit Card,77,6,Medium
103451,26,Female,89,92,21,Cash,62,40,High
103452,38,Female,133,76,21,UPI,31,38,High
103453,37,Male,127,47,4,Cash,42,20,Medium
103454,36,Male,128,51,23,Credit Card,91,19,Medium
103455,36,Male,117,58,3,Debit Card,80,48,Medium
103456,29,Female,94,22,5,Debit Card,17,36,Low
103457,54,Female,77,24,19,Credit Card,101,48,Low
103458,59,Female,71,34,8,UPI,19,29,Low
103459,34,Male,43,63,5,UPI,84,41,Medium
103460,54,Male,143,60,13,Cash,102,24,Medium
103461,56,Male,138,19,10,Credit Card,77,9,Low
103462,45,Male,73,24,6,Credit Card,110,32,Low
103463,58,Female,100,64,1,UPI,95,40,Medium
103464,52,Male,85,20,11,Credit Card,52,5,Low
103465,35,Male,103,98,20,Debit Card,19,21,High
103466,31,Female,112,27,9,UPI,103,17,Low
103467,52,Male,58,58,16,UPI,102,24,Medium
103468,58,Female,130,44,15,Debit Card,44,27,Medium
103469,24,Female,89,93,5,Credit Card,34,48,Medium
103470,58,Female,37,65,15,UPI,116,18,Medium
103471,30,Female,59,46,1,UPI,27,22,Medium
103472,35,Female,106,54,15,UPI,13,6,Medium
103473,54,Male,27,39,4,Credit Card,36,28,Low
103474,30,Male,48,7,16,UPI,39,42,Low
103475,53,Female,84,54,22,Credit Card,53,20,Medium
103476,48,Male,122,43,7,Cash,100,16,Medium
103477,19,Female,147,20,23,Debit Card,49,19,Low
103478,33,Male,140,84,8,Credit Card,20,8,Medium
103479,26,Male,35,25,21,Credit Card,36,18,Low
103480,26,Male,145,43,22,Debit Card,29,37,Medium
103481,55,Male,37,85,2,Credit Card,98,45,Medium
103482,28,Male,33,73,12,Debit Card,41,47,Medium
103483,39,Male,64,27,2,Cash,41,31,Low
103484,50,Male,34,92,14,UPI,39,38,Medium
103485,53,Female,130,25,19,Debit Card,49,2,Low
103486,40,Female,106,36,20,Debit Card,12,32,Low
103487,51,Female,107,98,6,UPI,108,15,Medium
103488,26,Male,97,66,22,UPI,117,11,Medium
103489,41,Male,67,9,19,Credit Card,51,5,Low
103490,25,Female,137,83,17,Credit Card,40,42,High
103491,24,Female,99,79,3,Credit Card,93,29,Medium
103492,53,Male,96,53,20,UPI,86,20,Medium
103493,35,Female,23,21,10,UPI,107,20,Low
103494,20,Female,18,50,24,UPI,14,18,Medium
103495,45,Female,39,16,13,Credit Card,5,12,Low
103496,23,Female,48,66,20,UPI,72,49,Medium
103497,38,Male,87,26,23,UPI,94,17,Low
103498,45,Female,96,44,18,Cash,79,4,Medium
103499,57,Female,18,29,19,Debit Card,19,19,Low
103500,18,Female,21,97,17,Debit Card,100,23,High
103501,53,Female,29,98,8,UPI,83,27,Medium
103502,38,Male,52,46,18,Credit Card,96,42,Medium
103503,52,Female,105,91,7,Cash,91,46,Medium
103504,30,Female,66,71,23,Cash,7,45,High
103505,27,Female,95,49,11,Debit Card,119,14,Medium
103506,27,Female,114,15,3,Cash,36,4,Low
103507,30,Female,21,17,2,Cash,24,4,Low
103508,54,Male,121,9,19,Cash,60,24,Low
103509,55,Female,59,77,24,UPI,82,23,High
103510,41,Female,73,32,11,Debit Card,103,36,Low
103511,19,Male,136,66,8,Debit Card,108,11,Medium
103512,39,Female,35,59,11,Credit Card,46,33,Medium
103513,34,Male,17,32,2,UPI,77,38,Low
103514,53,Female,16,84,12,Cash,64,5,Medium
103515,31,Male,43,43,9,UPI,60,27,Medium
103516,27,Male,51,83,6,Cash,51,37,Medium
103517,52,Female,59,91,12,Cash,28,27,Medium
103518,42,Male,134,59,18,Credit Card,45,31,Medium
103519,20,Female,60,30,5,Credit Card,8,12,Low
103520,55,Male,67,11,22,Credit Card,80,47,Low
103521,34,Male,59,80,17,Cash,55,6,High
103522,29,Female,46,26,16,Cash,92,12,Low
103523,41,Male,32,94,12,UPI,5,14,Medium
103524,46,Female,27,2,2,Debit Card,18,22,Low
103525,42,Male,146,34,16,Cash,99,11,Low
103526,53,Male,37,41,1,UPI,14,40,Medium
103527,43,Female,76,86,20,UPI,101,39,High
103528,55,Female,68,31,2,Cash,40,38,Low
103529,18,Male,83,63,13,Cash,46,13,Medium
103530,37,Female,28,55,16,Credit Card,103,6,Medium
103531,45,Female,112,61,1,Credit Card,52,20,Medium
103532,33,Male,42,85,19,Credit Card,22,2,High
103533,34,Male,109,36,4,UPI,93,11,Low
103534,57,Female,85,40,20,Credit Card,80,8,Low
103535,45,Male,81,23,3,Cash,64,30,Low
103536,29,Female,114,26,2,Credit Card,32,27,Low
103537,44,Female,75,18,12,Cash,57,4,Low
103538,59,Female,117,79,24,Cash,119,7,High
103539,47,Female,133,34,13,Debit Card,13,47,Low
103540,58,Female,31,86,18,Debit Card,28,24,High
103541,51,Female,63,28,5,Credit Card,24,32,Low
103542,54,Male,92,49,23,Cash,94,19,Medium
103543,23,Female,60,64,12,Debit Card,73,42,Medium
103544,24,Male,107,71,19,UPI,31,35,High
103545,49,Female,135,63,1,Debit Card,96,42,Medium
103546,49,Male,27,62,9,Credit Card,105,3,Medium
103547,42,Male,59,42,1,UPI,44,18,Medium
103548,50,Male,31,24,24,UPI,75,37,Low
103549,24,Female,61,35,18,Cash,87,22,Low
103550,29,Male,76,77,23,Cash,58,33,High
103551,33,Male,57,55,3,Cash,90,38,Medium
103552,33,Female,82,49,6,Cash,86,39,Medium
103553,53,Male,138,77,22,Debit Card,19,34,High
103554,30,Male,123,95,4,Credit Card,101,49,Medium
103555,24,Female,42,59,24,Credit Card,107,23,Medium
103556,53,Male,108,83,12,Cash,55,35,Medium
103557,26,Male,132,93,12,Debit Card,73,29,Medium
103558,49,Female,105,22,5,Debit Card,44,2,Low
103559,28,Male,98,85,23,Debit Card,105,14,High
103560,25,Male,47,61,21,Credit Card,73,48,Medium
103561,50,Male,39,80,13,Cash,105,44,Medium
103562,40,Male,33,30,12,Debit Card,47,8,Low
103563,42,Female,120,69,4,Debit Card,68,1,Medium
103564,25,Female,47,60,6,Cash,11,28,Medium
103565,39,Female,81,6,19,Debit Card,6,3,Low
103566,21,Female,56,85,6,Credit Card,34,7,Medium
103567,57,Male,109,11,6,UPI,117,34,Low
103568,20,Female,61,24,11,Credit Card,79,48,Low
103569,46,Female,49,92,22,Cash,56,32,High
103570,58,Male,131,79,14,Cash,105,9,Medium
103571,46,Male,90,51,3,Credit Card,107,35,Medium
103572,51,Male,142,19,8,UPI,37,19,Low
103573,51,Female,69,50,4,Cash,13,46,Medium
103574,45,Male,112,81,16,Cash,15,15,High
103575,30,Male,122,3,18,Credit Card,80,31,Low
103576,32,Male,63,3,7,UPI,14,16,Low
103577,40,Female,127,92,11,UPI,58,47,Medium
103578,43,Female,148,31,8,UPI,79,46,Low
103579,21,Female,84,47,20,Cash,101,37,Medium
103580,43,Female,100,8,6,UPI,24,7,Low
103581,57,Female,53,17,24,Credit Card,9,35,Low
103582,26,Female,145,99,16,Cash,115,29,High
103583,22,Female,24,91,5,UPI,28,2,Medium
103584,49,Male,17,45,6,Debit Card,36,48,Medium
103585,37,Male,60,97,6,UPI,35,34,Medium
103586,28,Male,81,60,2,UPI,110,35,Medium
103587,32,Female,111,75,7,Cash,48,31,Medium
103588,49,Female,33,21,9,Credit Card,82,12,Low
103589,45,Male,76,70,15,Debit Card,23,1,Medium
103590,39,Male,112,21,21,Cash,110,47,Low
103591,58,Female,71,58,14,UPI,28,29,Medium
103592,34,Female,109,55,21,Cash,100,1,Medium
103593,43,Female,121,28,13,Cash,16,1,Low
103594,24,Female,102,81,5,Debit Card,54,15,Medium
103595,59,Female,129,82,17,UPI,89,3,High
103596,43,Female,133,75,5,Cash,119,14,Medium
103597,42,Female,66,46,24,Credit Card,104,10,Medium
103598,27,Female,55,44,3,Debit Card,29,3,Medium
103599,36,Male,62,89,9,Cash,55,20,Medium
103600,28,Female,105,94,9,Debit Card,18,36,Medium
103601,30,Female,53,25,22,Cash,76,27,Low
103602,25,Female,27,71,4,Cash,33,49,Medium
103603,57,Male,146,49,20,Cash,29,36,Medium
103604,21,Male,110,46,11,Credit Card,91,47,Medium
103605,48,Female,123,91,17,Credit Card,63,11,High
103606,45,Male,118,90,14,Credit Card,104,3,Medium
103607,28,Male,112,63,10,Cash,61,24,Medium
103608,18,Male,57,77,5,Credit Card,116,39,Medium
103609,55,Female,102,88,21,Debit Card,16,10,High
103610,41,Female,107,12,21,Credit Card,54,26,Low
103611,48,Female,140,78,17,Debit Card,16,32,High
103612,58,Female,123,57,16,UPI,86,8,Medium
103613,43,Female,61,73,1,UPI,104,47,Medium
103614,22,Female,106,64,10,Credit Card,52,13,Medium
103615,37,Female,55,31,12,Credit Card,54,3,Low
103616,58,Male,17,4,18,Debit Card,23,15,Low
103617,28,Female,135,54,1,Cash,116,21,Medium
103618,50,Female,91,83,24,Debit Card,57,42,High
103619,55,Female,109,65,12,UPI,39,29,Medium
103620,44,Female,27,93,20,Cash,117,47,High
103621,51,Female,119,6,6,Debit Card,31,27,Low
103622,32,Female,32,65,8,Credit Card,71,30,Medium
103623,49,Female,51,89,14,UPI,81,14,Medium
103624,38,Female,69,91,5,UPI,106,41,Medium
103625,22,Male,66,22,22,Credit Card,55,15,Low
103626,23,Male,50,17,4,Debit Card,109,46,Low
103627,55,Female,128,59,22,Credit Card,23,47,Medium
103628,39,Female,66,29,16,Debit Card,47,46,Low
103629,35,Male,33,67,6,UPI,39,42,Medium
103630,31,Female,106,17,3,Credit Card,19,44,Low
103631,27,Female,62,2,4,UPI,20,14,Low
103632,30,Male,115,32,22,UPI,103,25,Low
103633,48,Female,113,22,8,Cash,73,27,Low
103634,47,Female,61,97,14,Credit Card,75,47,Medium
103635,20,Female,81,58,7,UPI,89,44,Medium
103636,47,Male,45,53,4,Debit Card,45,2,Medium
103637,23,Male,90,86,19,Credit Card,58,17,High
103638,46,Female,22,47,11,Debit Card,69,15,Medium
103639,25,Male,58,4,15,Debit Card,93,27,Low
103640,50,Male,49,38,24,Debit Card,34,10,Low
103641,34,Male,28,13,16,Credit Card,23,43,Low
103642,28,Female,124,61,6,Debit Card,92,46,Medium
103643,30,Male,18,87,12,Credit Card,50,9,Medium
103644,28,Male,126,64,8,Cash,64,3,Medium
103645,48,Male,83,77,10,Debit Card,83,24,Medium
103646,45,Female,63,84,11,Credit Card,103,1,Medium
103647,23,Male,69,33,9,Debit Card,28,38,Low
103648,58,Male,95,98,17,UPI,40,6,High
103649,33,Female,129,38,14,Debit Card,53,5,Low
103650,21,Male,89,29,3,UPI,63,4,Low
103651,52,Male,112,61,9,UPI,18,3,Medium
103652,43,Male,141,32,20,Debit Card,90,45,Low
103653,29,Female,125,11,18,Debit Card,43,30,Low
103654,28,Female,115,18,17,UPI,12,36,Low
103655,54,Male,128,45,5,Cash,52,23,Medium
103656,42,Male,43,21,20,Credit Card,84,7,Low
103657,35,Male,76,12,21,Debit Card,114,32,Low
103658,36,Male,67,20,21,UPI,85,43,Low
103659,40,Male,131,7,24,Credit Card,73,10,Low
103660,55,Male,105,91,6,Debit Card,45,37,Medium
103661,35,Female,120,71,3,Credit Card,39,33,Medium
103662,43,Male,100,2,16,UPI,68,26,Low
103663,23,Male,142,43,15,Debit Card,57,43,Medium
103664,21,Male,114,97,8,Cash,58,45,Medium
103665,46,Female,108,21,9,Credit Card,41,31,Low
103666,51,Male,90,29,4,Debit Card,56,30,Low
103667,34,Female,17,32,13,Credit Card,22,23,Low
103668,33,Male,95,45,24,Credit Card,25,29,Medium
103669,19,Male,119,76,3,Debit Card,46,8,Medium
103670,51,Male,46,77,21,Debit Card,69,16,High
103671,25,Male,22,59,7,Debit Card,85,9,Medium
103672,30,Male,101,3,16,UPI,12,4,Low
103673,59,Male,44,39,17,Debit Card,97,19,Low
103674,25,Female,88,51,17,Credit Card,88,39,Medium
103675,47,Male,137,8,19,Debit Card,117,44,Low
103676,49,Male,135,46,20,UPI,118,41,Medium
103677,53,Male,52,66,17,UPI,105,13,Medium
103678,47,Female,129,6,24,Debit Card,43,12,Low
103679,18,Male,123,58,2,Credit Card,65,9,Medium
103680,56,Female,92,41,5,UPI,64,12,Medium
103681,34,Male,50,79,16,Credit Card,73,24,High
103682,37,Male,104,54,22,Cash,63,48,Medium
103683,41,Female,54,76,11,UPI,14,13,Medium
103684,39,Female,88,41,22,Cash,67,35,Medium
103685,46,Male,60,48,6,UPI,74,32,Medium
103686,39,Female,121,96,11,Credit Card,11,38,Medium
103687,26,Female,114,70,1,Cash,39,14,Medium
103688,54,Male,75,27,19,Credit Card,95,2,Low
103689,27,Male,17,47,3,UPI,46,21,Medium
103690,53,Male,96,77,8,Credit Card,89,31,Medium
103691,54,Female,21,23,22,Cash,92,35,Low
103692,45,Male,45,74,18,Debit Card,33,16,High
103693,45,Male,79,14,13,Debit Card,31,40,Low
103694,59,Female,109,61,1,UPI,42,26,Medium
103695,38,Female,78,67,20,Debit Card,6,38,Medium
103696,41,Male,91,76,17,UPI,29,3,High
103697,59,Female,17,25,5,Credit Card,70,37,Low
103698,57,Female,107,65,12,Credit Card,42,36,Medium
103699,19,Female,49,96,11,Cash,63,38,Medium
103700,25,Male,29,24,24,Cash,86,2,Low
103701,44,Male,35,53,18,Debit Card,110,22,Medium
103702,39,Male,76,73,8,Credit Card,11,3,Medium
103703,54,Female,97,50,24,Cash,53,40,Medium
103704,44,Male,18,1,22,Debit Card,72,47,Low
103705,46,Male,81,39,24,UPI,112,42,Low
103706,20,Female,108,74,13,Cash,108,47,Medium
103707,30,Female,72,44,2,Cash,45,26,Medium
103708,27,Male,144,94,23,Debit Card,78,27,High
103709,53,Female,39,5,16,Cash,55,38,Low
103710,26,Male,25,68,12,Debit Card,109,44,Medium
103711,44,Male,15,72,8,Cash,96,8,Medium
103712,51,Male,62,80,4,Credit Card,98,23,Medium
103713,18,Female,127,65,14,Credit Card,28,6,Medium
103714,49,Female,95,79,9,Credit Card,40,25,Medium
103715,42,Male,44,88,11,Cash,84,16,Medium
103716,46,Male,128,15,16,Debit Card,101,26,Low
103717,24,Male,33,50,6,Credit Card,14,15,Medium
103718,20,Male,124,6,12,UPI,116,47,Low
103719,37,Female,48,66,19,Cash,25,32,Medium
103720,37,Male,46,69,16,Debit Card,31,40,Medium
103721,47,Male,90,39,13,Cash,59,19,Low
103722,52,Female,140,98,4,Debit Card,89,14,Medium
103723,52,Male,148,96,12,Debit Card,95,48,Medium
103724,56,Male,100,29,4,Cash,100,44,Low
103725,44,Male,89,93,17,UPI,9,35,High
103726,43,Male,149,88,14,UPI,103,26,Medium
103727,31,Male,59,46,17,Cash,90,37,Medium
103728,34,Female,79,31,1,Credit Card,63,13,Low
103729,35,Female,108,24,20,Credit Card,40,47,Low
103730,46,Female,33,15,1,Debit Card,78,8,Low
103731,37,Female,133,76,22,Credit Card,38,14,High
103732,44,Male,61,20,2,Cash,56,26,Low
103733,35,Female,60,4,17,Cash,10,47,Low
103734,21,Female,43,58,23,UPI,18,30,Medium
103735,18,Female,114,77,22,Credit Card,63,40,High
103736,18,Female,79,61,1,Credit Card,61,42,Medium
103737,43,Female,142,10,12,Debit Card,41,13,Low
103738,37,Female,65,41,13,Cash,62,36,Medium
103739,40,Female,36,53,14,Cash,87,11,Medium
103740,27,Female,124,87,10,Cash,36,2,Medium
103741,28,Male,85,71,12,UPI,24,30,Medium
103742,58,Female,47,76,22,UPI,89,24,High
103743,58,Male,141,48,18,UPI,83,18,Medium
103744,22,Female,123,15,7,Cash,85,23,Low
103745,18,Female,114,7,19,Cash,65,6,Low
103746,34,Female,58,72,15,Credit Card,112,46,Medium
103747,39,Male,21,71,7,Cash,61,11,Medium
103748,51,Male,142,43,14,Cash,113,7,Medium
103749,58,Female,105,4,9,UPI,56,47,Low
103750,46,Male,144,51,5,Credit Card,92,33,Medium
103751,21,Female,31,71,1,Cash,89,10,Medium
103752,22,Male,79,59,16,Debit Card,52,21,Medium
103753,28,Male,124,41,5,UPI,83,9,Medium
103754,38,Male,44,61,24,Debit Card,15,30,Medium
103755,52,Female,106,30,8,Credit Card,105,48,Low
103756,29,Male,89,18,19,UPI,34,48,Low
103757,43,Male,119,30,20,Credit Card,64,25,Low
103758,36,Female,45,7,12,Cash,22,25,Low
103759,24,Male,111,52,8,UPI,96,49,Medium
103760,24,Female,65,48,8,Credit Card,81,24,Medium
103761,43,Female,72,23,23,Credit Card,111,12,Low
103762,57,Male,48,37,6,Credit Card,78,7,Low
103763,22,Female,35,71,20,Debit Card,51,34,High
103764,38,Male,51,93,9,UPI,107,3,Medium
103765,31,Male,78,98,2,Credit Card,16,6,Medium
103766,21,Female,138,53,18,UPI,54,27,Medium
103767,40,Male,115,45,1,Cash,106,19,Medium
103768,59,Male,133,49,11,Cash,109,8,Medium
103769,37,Female,99,49,15,Credit Card,116,36,Medium
103770,32,Female,92,82,12,UPI,44,39,Medium
103771,46,Male,118,47,3,Credit Card,94,36,Medium
103772,25,Female,86,25,19,Credit Card,112,18,Low
103773,58,Female,117,91,20,Debit Card,68,7,High
103774,36,Female,91,27,19,UPI,23,1,Low
103775,56,Female,124,12,10,Debit Card,91,5,Low
103776,45,Male,33,23,16,Credit Card,116,42,Low
103777,44,Male,144,17,6,Debit Card,104,14,Low
103778,21,Female,148,44,9,Debit Card,31,1,Medium
103779,32,Male,147,71,8,Debit Card,56,12,Medium
103780,52,Female,76,24,22,Cash,84,19,Low
103781,54,Female,117,71,16,Cash,11,2,High
103782,18,Male,114,93,8,Debit Card,67,14,Medium
103783,20,Male,66,60,24,UPI,81,3,Medium
103784,41,Male,63,53,22,Cash,59,35,Medium
103785,44,Male,114,92,18,Debit Card,80,13,High
103786,57,Female,140,87,5,Credit Card,95,49,Medium
103787,53,Female,132,74,20,Cash,101,3,High
103788,51,Male,68,16,12,Credit Card,35,14,Low
103789,46,Female,133,98,6,Debit Card,15,34,Medium
103790,41,Male,147,25,2,Debit Card,21,45,Low
103791,41,Male,112,66,4,Debit Card,106,9,Medium
103792,59,Male,50,50,16,Credit Card,70,10,Medium
103793,21,Female,95,69,24,Cash,71,8,Medium
103794,20,Female,99,78,14,Debit Card,102,29,Medium
103795,51,Male,97,95,17,UPI,118,39,High
103796,40,Male,77,40,19,Debit Card,36,33,Low
103797,40,Male,81,6,4,Cash,28,23,Low
103798,22,Male,17,64,18,Cash,92,8,Medium
103799,48,Female,56,28,12,UPI,17,40,Low
103800,58,Female,38,9,2,Debit Card,26,38,Low
103801,23,Male,58,6,6,Cash,23,23,Low
103802,54,Male,143,17,6,Cash,57,36,Low
103803,27,Female,129,40,3,Cash,98,43,Low
103804,57,Male,50,99,8,Credit Card,43,20,Medium
103805,24,Female,52,76,12,Cash,25,48,Medium
103806,56,Female,96,45,3,Cash,116,12,Medium
103807,55,Male,43,82,2,Credit Card,91,36,Medium
103808,38,Female,55,43,21,Debit Card,20,9,Medium
103809,37,Female,102,98,23,UPI,110,33,High
103810,20,Female,62,46,1,Credit Card,11,6,Medium
103811,39,Female,128,63,18,Credit Card,88,32,Medium
103812,21,Male,36,1,18,Credit Card,116,1,Low
103813,45,Female,113,59,8,Cash,110,24,Medium
103814,29,Female,31,63,22,Debit Card,82,29,Medium
103815,55,Female,100,79,14,Debit Card,30,8,Medium
103816,53,Male,147,18,13,Debit Card,90,13,Low
103817,58,Male,75,86,15,UPI,109,25,Medium
103818,22,Male,103,82,15,Debit Card,104,29,Medium
103819,30,Female,148,65,13,UPI,94,24,Medium
103820,40,Male,95,20,4,Cash,80,27,Low
103821,47,Male,109,56,4,Debit Card,117,26,Medium
103822,54,Male,73,54,5,UPI,35,20,Medium
103823,42,Female,68,48,3,Cash,108,4,Medium
103824,44,Male,140,54,12,Cash,72,22,Medium
103825,31,Male,62,89,20,UPI,44,7,High
103826,53,Male,82,16,12,Cash,31,18,Low
103827,56,Female,121,20,20,Cash,13,10,Low
103828,33,Female,92,47,7,Debit Card,80,31,Medium
103829,39,Male,91,97,7,UPI,97,26,Medium
103830,38,Male,41,7,1,Cash,96,47,Low
103831,38,Male,102,23,12,Credit Card,20,45,Low
103832,25,Female,86,75,3,Credit Card,76,26,Medium
103833,33,Female,61,33,15,Cash,115,25,Low
103834,48,Male,117,40,9,Debit Card,117,18,Low
103835,59,Female,35,5,22,Credit Card,17,24,Low
103836,27,Male,129,45,22,Debit Card,82,44,Medium
103837,49,Female,71,41,20,Cash,64,15,Medium
103838,51,Male,119,8,9,UPI,83,8,Low
103839,26,Female,109,81,14,Cash,64,43,Medium
103840,34,Male,124,82,3,Cash,13,25,Medium
103841,28,Female,41,50,8,Credit Card,57,35,Medium
103842,49,Male,142,91,6,UPI,112,24,Medium
103843,27,Male,90,31,12,Debit Card,36,46,Low
103844,39,Male,49,4,2,Debit Card,90,40,Low
103845,34,Male,112,66,3,UPI,59,38,Medium
103846,21,Female,50,56,14,Debit Card,119,21,Medium
103847,42,Male,80,5,17,Credit Card,29,1,Low
103848,38,Female,70,81,3,Cash,45,26,Medium
103849,54,Female,108,54,4,Debit Card,30,10,Medium
103850,55,Male,120,96,15,Credit Card,113,26,Medium
103851,18,Male,98,93,22,Debit Card,33,2,High
103852,42,Male,32,80,7,Credit Card,86,40,Medium
103853,53,Male,139,1,19,Debit Card,40,14,Low
103854,34,Female,16,76,14,Debit Card,88,33,Medium
103855,58,Female,90,83,16,UPI,101,39,High
103856,41,Female,40,73,13,UPI,88,1,Medium
103857,19,Female,61,61,23,Credit Card,7,30,Medium
103858,57,Male,44,7,20,UPI,63,37,Low
103859,32,Female,70,30,17,Cash,111,18,Low
103860,49,Male,133,15,17,UPI,38,30,Low
103861,56,Male,146,4,24,Credit Card,10,27,Low
103862,23,Female,144,63,10,UPI,35,49,Medium
103863,18,Female,35,70,7,Credit Card,103,49,Medium
103864,40,Female,82,38,20,Cash,36,30,Low
103865,56,Female,140,47,17,Credit Card,46,45,Medium
103866,34,Female,57,60,22,Credit Card,61,36,Medium
103867,51,Female,114,99,12,Cash,77,21,Medium
103868,58,Male,137,2,11,Cash,50,16,Low
103869,46,Male,107,69,10,Credit Card,116,17,Medium
103870,26,Male,143,8,23,Debit Card,95,18,Low
103871,30,Female,130,51,22,Debit Card,92,34,Medium
103872,23,Male,129,94,22,Credit Card,60,21,High
103873,23,Male,133,19,8,UPI,54,12,Low
103874,37,Male,107,94,15,Credit Card,90,31,Medium
103875,20,Male,23,31,22,Credit Card,34,10,Low
103876,34,Male,87,80,18,UPI,40,41,High
103877,29,Male,40,22,23,Cash,30,4,Low
103878,18,Female,120,33,13,Credit Card,54,15,Low
103879,34,Female,82,86,16,Debit Card,6,42,High
103880,20,Female,124,72,13,Cash,110,41,Medium
103881,43,Male,145,37,4,Cash,112,28,Low
103882,32,Female,39,12,11,Credit Card,11,7,Low
103883,53,Female,35,69,19,Debit Card,31,11,Medium
103884,49,Male,68,64,8,UPI,84,29,Medium
103885,49,Female,15,25,10,UPI,53,34,Low
103886,21,Male,142,54,12,UPI,50,30,Medium
103887,35,Female,15,29,21,Debit Card,97,27,Low
103888,36,Male,149,13,20,Cash,89,25,Low
103889,52,Male,24,26,11,Cash,30,48,Low
103890,57,Female,54,22,20,Credit Card,86,38,Low
103891,31,Male,59,93,21,Cash,69,40,High
103892,50,Female,101,76,4,Cash,6,23,Medium
103893,31,Male,41,92,19,UPI,82,29,High
103894,51,Female,64,73,20,UPI,106,11,High
103895,21,Female,75,10,10,UPI,83,4,Low
103896,41,Male,27,48,15,Cash,68,36,Medium
103897,46,Female,99,42,13,Credit Card,68,31,Medium
103898,36,Female,98,90,13,Cash,104,10,Medium
103899,23,Female,34,59,21,Credit Card,92,16,Medium
103900,50,Male,45,53,18,Cash,64,30,Medium
103901,57,Male,22,40,7,Debit Card,93,35,Low
103902,36,Female,38,75,14,Cash,13,44,Medium
103903,18,Female,47,62,5,Debit Card,19,17,Medium
103904,22,Male,56,6,9,Credit Card,41,5,Low
103905,44,Male,108,4,22,Cash,10,3,Low
103906,33,Female,51,91,17,Cash,47,16,High
103907,23,Male,48,55,5,Credit Card,49,4,Medium
103908,57,Male,67,88,16,UPI,80,9,High
103909,30,Female,110,69,9,UPI,95,4,Medium
103910,52,Male,119,3,17,Debit Card,75,21,Low
103911,36,Male,62,7,18,Cash,32,10,Low
103912,29,Male,54,88,3,UPI,56,31,Medium
103913,33,Female,102,86,5,Credit Card,80,17,Medium
103914,27,Male,57,12,22,Credit Card,110,16,Low
103915,42,Female,31,99,21,Cash,39,39,High
103916,37,Male,116,17,17,Debit Card,70,47,Low
103917,48,Male,125,67,20,Credit Card,30,6,Medium
103918,21,Female,84,75,22,Cash,24,30,High
103919,40,Female,74,70,4,Debit Card,93,15,Medium
103920,19,Female,91,36,4,UPI,66,43,Low
103921,39,Female,49,17,21,Cash,89,31,Low
103922,54,Male,30,86,24,Debit Card,5,30,High
103923,25,Female,52,1,21,Credit Card,96,37,Low
103924,24,Female,46,67,7,UPI,57,16,Medium
103925,31,Female,21,80,8,Credit Card,106,44,Medium
103926,20,Male,60,99,22,Credit Card,81,36,High
103927,33,Male,32,78,22,UPI,34,2,High
103928,36,Female,85,49,2,Cash,64,28,Medium
103929,35,Female,54,51,10,Cash,14,48,Medium
103930,33,Female,102,71,5,Cash,113,40,Medium
103931,25,Female,92,90,17,Credit Card,26,17,High
103932,50,Male,19,43,7,Credit Card,33,41,Medium
103933,29,Female,100,31,2,Cash,73,38,Low
103934,28,Male,36,24,6,Cash,12,36,Low
103935,22,Female,88,83,10,UPI,57,32,Medium
103936,44,Female,104,37,9,Credit Card,15,25,Low
103937,29,Male,93,65,5,Debit Card,30,13,Medium
103938,34,Female,133,89,3,Cash,23,14,Medium
103939,23,Female,143,63,11,Cash,23,44,Medium
103940,50,Female,92,56,10,Credit Card,34,25,Medium
103941,22,Female,50,74,16,Cash,40,35,High
103942,45,Male,109,18,20,Cash,46,29,Low
103943,31,Female,42,65,19,Credit Card,60,15,Medium
103944,22,Female,112,29,1,Cash,13,15,Low
103945,50,Male,49,77,11,UPI,11,47,Medium
103946,58,Female,76,4,15,Debit Card,22,47,Low
103947,36,Male,101,12,7,Credit Card,13,40,Low
103948,39,Female,122,56,8,UPI,10,17,Medium
103949,22,Female,139,48,16,Credit Card,74,25,Medium
103950,19,Female,93,19,18,Credit Card,49,23,Low
103951,47,Male,139,26,24,Credit Card,26,46,Low
103952,56,Male,75,38,23,Debit Card,85,32,Low
103953,21,Female,40,80,11,UPI,83,31,Medium
103954,50,Male,71,25,1,Debit Card,77,23,Low
103955,30,Female,146,56,16,Credit Card,74,38,Medium
103956,37,Male,56,74,4,Cash,91,17,Medium
103957,24,Female,36,28,23,Debit Card,85,29,Low
103958,32,Male,104,61,6,Cash,100,2,Medium
